1-Phosphatidylinositol 3-Kinase;D8.811.913.696.620.525;D8.811.913.696.620.500
3-Hydroxybutyric Acid;;D2.522.585.87
Abdominal Injuries;C21.866.17;C26.17
Abducens Nerve Injury;C21.866.260.237.162;C26.260.237.162
Abducens Nerve Injury;C21.866.915.300.400.100;C26.915.300.400.100
Abelmoschus;B1.650.388.100.700.100;B1.650.940.800.575.100.700.100
Abies;B1.650.388.400.122.666.33;B1.650.940.800.575.400.122.666.33
Abnormalities, Radiation-Induced;C21.866.733.31;C26.733.31
Abnormalities, Severe Teratoid;C16.131.880;C16.131.85
Abrus;B1.650.388.100.401.12;B1.650.940.800.575.100.401.12
Acacia;B1.650.388.100.401.25;B1.650.940.800.575.100.401.25
Acanthaceae;B1.650.388.100.08;B1.650.940.800.575.100.08
Acanthopanax;B1.650.388.100.87.33;B1.650.940.800.575.100.87.33
Acer;B1.650.388.100.09.500;B1.650.940.800.575.100.09.500
Aceraceae;B1.650.388.100.09;B1.650.940.800.575.100.09
Acetabularia;B1.40.80.133;B1.650.940.150.133
Achillea;B1.650.388.100.100.37;B1.650.940.800.575.100.100.37
Achlya;B1.40.650.50;B1.750.937.50
Acholeplasma;B3.440.560.74.150;B3.440.860.74.150
Acholeplasma laidlawii;B3.440.560.74.150.500;B3.440.860.74.150.500
Acholeplasmataceae;B3.440.560.74;B3.440.860.74
Achyranthes;B1.650.388.100.37.100;B1.650.940.800.575.100.37.100
Achyrocline;B1.650.388.100.100.41;B1.650.940.800.575.100.100.41
Aconitum;B1.650.388.100.838.22;B1.650.940.800.575.100.838.22
Acoraceae;B1.650.388.100.10;B1.650.940.800.575.100.10
Acorus;B1.650.388.100.10.500;B1.650.940.800.575.100.10.500
Acrocephalosyndactylia;;C5.660.207.707.249.100
Acrocephalosyndactylia;;C16.131.621.207.707.249.100
Acrodynia;C21.613.647.500.100;C25.723.647.500.100
Actaea;B1.650.388.100.838.33;B1.650.940.800.575.100.838.33
Actinidia;B1.650.388.100.928.124.500;B1.650.940.800.575.100.928.124.500
Actinidiaceae;B1.650.388.100.928.124;B1.650.940.800.575.100.928.124
Acute Coronary Syndrome;;C14.280.647.187.74
Acute Coronary Syndrome;;C14.907.585.187.74
Acute Coronary Syndrome;;C23.888.646.215.500.74
Acute Radiation Syndrome;C21.866.733.188;C26.733.188
Adansonia;B1.650.388.100.148.500;B1.650.940.800.575.100.148.500
Adhatoda;B1.650.388.100.08.22;B1.650.940.800.575.100.08.22
Adiantum;B1.650.388.250.750.44;B1.650.940.800.575.250.750.44
Adonis;B1.650.388.100.838.36;B1.650.940.800.575.100.838.36
Adoxaceae;B1.650.388.100.14;B1.650.940.800.575.100.14
Adrenal Hyperplasia, Congenital;;C12.706.316.129.500
Adrenal Hyperplasia, Congenital;;C13.351.875.253.129.500
Adrenal Hyperplasia, Congenital;;C16.131.939.316.129.500
Adrenal Hyperplasia, Congenital;;C19.391.119.129.500
Adrenarche;G8.686.785.760.960.374.204;G8.686.785.880.374.204
Adrenogenital Syndrome;C19.391.775.129;C12.706.316.129
Adrenogenital Syndrome;;C13.351.875.253.129
Adrenogenital Syndrome;;C16.131.939.316.129
Adrenogenital Syndrome;;C19.391.119.129
Adrenoleukodystrophy;;C10.228.140.163.100.362.250
Adrenoleukodystrophy;;C10.228.140.695.625.250
Adrenoleukodystrophy;;C10.228.518.625.250
Adrenoleukodystrophy;;C16.320.565.189.362.250
Adrenoleukodystrophy;;C18.452.132.100.362.250
Adrenoleukodystrophy;;C18.452.648.189.362.250
Aegle;B1.650.388.100.875.77;B1.650.940.800.575.100.875.77
Aesculus;B1.650.388.100.503.500;B1.650.940.800.575.100.503.500
Agastache;B1.650.388.100.575.49;B1.650.940.800.575.100.575.49
Agavaceae;B1.650.388.100.18;B1.650.940.800.575.100.18
Agave;B1.650.388.100.18.249;B1.650.940.800.575.100.18.249
Ageratina;B1.650.388.100.100.46;B1.650.940.800.575.100.100.46
Ageratum;B1.650.388.100.100.56;B1.650.940.800.575.100.100.56
Aggrecans;D9.698.735.830.500;D9.698.735.200.500
Aggrecans;D12.776.395.650.750.500;D12.776.395.650.750.687.100
