2,3-Diketogulonic Acid;D9.203.811.200;D9.811.200
2,3-Diphosphoglycerate;D9.203.811.366.388.175;D9.811.366.388.175
25-Hydroxyvitamin D3 1-alpha-Hydroxylase;D8.811.682.580.170.915.400;D8.811.682.690.708.170.915.400
25-Hydroxyvitamin D3 1-alpha-Hydroxylase;D8.811.682.580.783.400;D8.811.682.690.708.783.400
3,4-Dichloro-N-methyl-N-(2-(1-pyrrolidinyl)-cyclohexyl)-benzeneacetamide, (trans)-Isomer;D3.383.773.953;D3.383.773.170
3-O-Methylglucose;D9.203.408.348.500.500;D9.408.348.500.500
3-O-Methylglucose;D9.203.408.514.622.500;D9.408.514.622.500
4-Hydroxybenzoate-3-Monooxygenase;D8.811.682.580.425;D8.811.682.690.708.425
4-Hydroxyphenylpyruvate Dioxygenase;D8.811.682.690.400;D8.811.682.690.416.222
7-Alkoxycoumarin O-Dealkylase;D8.811.682.690.100;D8.811.682.690.708.170.40.24
9,10-Dimethyl-1,2-benzanthracene;D4.615.117.306.301;D4.615.149.301
Acarbose;D9.203.698.629.802.100;D9.698.629.802.100
Acetyldigitoxins;D9.203.408.180.261.336.259;D9.408.180.261.336.259
Acetyldigoxins;D9.203.408.180.261.436.50;D9.408.180.261.436.50
Acetylgalactosamine;D9.203.67.342.356.50;D9.67.342.356.50
Acetylglucosamine;D9.203.67.342.531.50;D9.67.342.531.50
Acetylglucosaminidase;D8.811.277.450.483.531.80;D8.811.277.450.483.21
Acetylmuramyl-Alanyl-Isoglutamine;D9.203.67.550.50;D9.67.550.50
Acetylmuramyl-Alanyl-Isoglutamine;D9.203.811.522.50;D9.811.522.50
Acid Rain;;G3.230.700.380.50
Acidic Glycosphingolipids;D9.203.400.410.420.25;D9.400.410.420.25
Aclarubicin;D4.615.597.50.50;D4.615.562.50.50
Aclarubicin;D9.203.408.51.50.50;D9.408.51.59.50
Acne Rosacea;C17.800.30.90;C17.800.716
Acne Rosacea;C17.800.271.125.150;
Aconitine;;D2.455.849.291.37
Acrylic Resins;;D5.750.716.822.111
ACTH Syndrome, Ectopic;C4.588.322.443.317;
ACTH Syndrome, Ectopic;C19.344.443.317;
ACTH Syndrome, Ectopic;C19.576.317;
Actins;;D5.750.78.718.75
Addison's Disease;C19.53.264.263;C19.53.500.263
Adenoma, Adrenal Cortical;C4.557.470.35.40;C19.53.347.500.500
Adenoma, Islet Cell;;C4.588.322.421.249
Adenoma, Islet Cell;;C19.344.421.249
Adenosine Diphosphate Glucose;D9.203.408.620.569.70.75;D9.408.620.569.70.75
Adenosine Diphosphate Ribose;D9.203.408.620.569.70.125;D9.408.620.569.70.125
Adenosine Diphosphate Sugars;D9.203.408.620.569.70;D9.408.620.569.70
Adenylate Cyclase;;D12.644.360.50
Adenylate Cyclase;;D12.776.476.50
Adjuvants, Immunologic;D27.505.696.444.611.62;
Adolescent Development;G7.760.49;G7.574.374.500
ADP-Ribosylation Factor 1;;D12.644.360.525.100.100
ADP-Ribosylation Factor 1;;D12.776.476.525.100.100
ADP-Ribosylation Factors;;D12.644.360.525.100
ADP-Ribosylation Factors;;D12.776.476.525.100
Adrenal Cortex Neoplasms;C19.53.347.265;C19.53.347.500
Adrenal Gland Hyperfunction;C19.53.181;C19.53.800
Adrenal Gland Hypofunction;C19.53.264;C19.53.500
Adrenal Hyperplasia, Congenital;C19.391.90;
Adrenal Rest Tumor;C4.557.475.40;C4.557.470.35.232
Adrenoleukodystrophy;C19.53.264.270;C19.53.500.270
Agar;D9.203.698.360.41;D9.698.360.41
Aging;G7.168;G7.574.124
Ajmaline;D3.132.973.641.119;D3.132.436.681.77
Ajmaline;D3.549.937.641.144;D3.438.473.402.681.77
Alamethicin;;D4.345.566.40
Albendazole;;D2.241.81.251.22
Alchemy;K1.419.75;K1.504.75
Alcuronium;D3.132.436.500.712.50;D3.132.436.255.712.50
Alcuronium;D3.438.473.402.500.712.50;D3.438.473.402.255.712.50
Aldosterone Synthase;D8.811.682.580.170.915.50;D8.811.682.690.708.170.915.50
Aldosterone Synthase;D8.811.682.580.783.50;D8.811.682.690.708.783.50
Alginates;D9.203.698.68;D9.698.68
Algorithms;L1.700.568.110.50;L1.224.50
Alkane 1-Monooxygenase;D8.811.682.580.170.500;D8.811.682.690.708.170.500
