root/bian,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,9.0,9.0,9.0,9.0,0,0,0,0,0,0,0,0,0,0
root/bian/rules,root/bian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,9.0,9.0,9.0,9.0,0,0,0,0,0,0,0,0,0,0
root/bpack.config.js,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,0,31.0,0,0,0,0
root/bpack.dev.js,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0,0,48.0,48.0,48.0,48.0
root/bpack.prod.js,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0,0,49.0,49.0,49.0,49.0
root/che,root,0,0,0,0,0,30259.0,30259.0,30259.0,30259.0,30259.0,30259.0,30259.0,30259.0,30259.0,30259.0,52222.0,52222.0,52222.0,52222.0,52222.0,52222.0,52222.0,52222.0,52222.0,52222.0,52222.0,52222.0,52222.0,52222.0,0,52222.0,0,0,0,0
root/che/0.10.4,root/che,0,0,0,0,0,30259.0,30259.0,30259.0,30259.0,30259.0,30259.0,30259.0,30259.0,30259.0,30259.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/che/0.10.4/osx,root/che/0.10.4,0,0,0,0,0,16117.0,16117.0,16117.0,16117.0,16117.0,16117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/che/0.10.4/osx/credits.html,root/che/0.10.4/osx,0,0,0,0,0,16117.0,16117.0,16117.0,16117.0,16117.0,16117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/che/0.10.4/osx32,root/che/0.10.4,0,0,0,0,0,0,0,0,0,0,0,16117.0,16117.0,16117.0,16117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
