root/Makefile.am,root,0,35.0,42.0,66.0,98.0,118.0,126.0,137.0,134.0,142.0,162.0,169.0,207.0,246.0,252.0,251.0,108.0,101.0,72.0,100.0,101.0,107.0,83.0,80.0,80.0,77.0,77.0,81.0,81.0,82.0,82.0,87.0,87.0,86.0,77.0,77.0,77.0,77.0,77.0,80.0,80.0,77.0,98.0,99.0,99.0,99.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,102.0,105.0,102.0,102.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,96.0,96.0,95.0,97.0,97.0
root/README.perl,root,0,0,0,0,158.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,262.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/TODO.xml,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452.0,466.0,529.0,543.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,549.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/acconfig.h,root,0,52.0,52.0,50.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,57.0,59.0,62.0,62.0,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/acinclude.m4,root,0,0,0,381.0,625.0,427.0,427.0,560.0,560.0,560.0,562.0,562.0,562.0,562.0,562.0,562.0,565.0,133.0,133.0,133.0,133.0,1.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,219.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,366.0,366.0,418.0,418.0,418.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
root/app,root,0,119462.0,128090.0,137862.0,153656.0,160032.0,171555.0,188076.0,195193.0,195141.0,195979.0,198636.0,201205.0,201760.0,204121.0,214269.0,242719.0,247263.0,242400.0,256298.0,259081.0,261344.0,262405.0,264803.0,271370.0,270941.0,284630.0,290899.0,296178.0,302875.0,303992.0,305991.0,307340.0,309917.0,319172.0,323302.0,330891.0,337207.0,341736.0,348172.0,354034.0,354759.0,359829.0,364432.0,371930.0,376525.0,380541.0,387136.0,389748.0,385908.0,389413.0,390164.0,392564.0,396842.0,401306.0,406242.0,406509.0,410545.0,410628.0,412410.0,415835.0,417058.0,417793.0,421697.0,432143.0,435552.0,441994.0,448904.0,452651.0,454308.0,457922.0,468142.0
root/app/Makefile.am,root/app,0,297.0,331.0,366.0,437.0,463.0,491.0,519.0,523.0,524.0,512.0,512.0,511.0,517.0,509.0,372.0,206.0,159.0,154.0,155.0,146.0,139.0,149.0,136.0,137.0,107.0,108.0,108.0,155.0,163.0,162.0,165.0,172.0,174.0,191.0,195.0,195.0,234.0,235.0,218.0,218.0,219.0,219.0,220.0,218.0,218.0,223.0,223.0,223.0,226.0,226.0,226.0,226.0,231.0,231.0,231.0,233.0,233.0,235.0,233.0,233.0,238.0,238.0,233.0,238.0,242.0,243.0,246.0,246.0,244.0,246.0,247.0
root/app/about.h,root/app,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
root/app/actionarea.c,root/app,0,49.0,49.0,49.0,66.0,66.0,69.0,69.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/app/actionarea.h,root/app,0,37.0,37.0,37.0,37.0,38.0,40.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
