root/.circleci,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,137.0,137.0,137.0,137.0,137.0
root/.circleci/config.yml,root/.circleci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,136.0,137.0,137.0,137.0,137.0,137.0
root/.pullapprove.yml,root,0,16.0,16.0,16.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/admin,root,0,0,626.0,9030.0,9256.0,8451.0,8453.0,8502.0,8444.0,8447.0,8463.0,8523.0,13096.0,10591.0,13570.0,13568.0,14770.0,15289.0,15400.0,15405.0,15404.0,15404.0,15404.0,15404.0,15404.0,15441.0,15440.0,15440.0,15439.0,15450.0,15735.0
root/admin/names,root/admin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.0,422.0,422.0
root/admin/names/src,root/admin/names,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.0,422.0,422.0
root/admin/names/src/main,root/admin/names/src,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.0,422.0,422.0
root/admin/names/src/main/scala,root/admin/names/src/main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.0,422.0,422.0
root/admin/names/src/main/scala/io,root/admin/names/src/main/scala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.0,422.0,422.0
root/admin/names/src/main/scala/io/buoyant,root/admin/names/src/main/scala/io,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422.0,422.0,422.0
