root/c,root,5263.0,5453.0,6458.0,6458.0,6472.0,6472.0,6784.0,6789.0,6789.0,6789.0,6789.0,6816.0,6930.0,7023.0,7555.0,7628.0,8197.0,8929.0,9239.0,9759.0,10260.0,10331.0,10857.0,11397.0,11461.0,11492.0,11497.0,11637.0,12209.0,12678.0,12749.0,12777.0,12791.0,13523.0,13590.0,15184.0,15265.0,16289.0,16700.0,16803.0,16890.0,16978.0,17450.0,17460.0,17474.0,17483.0,17870.0,18340.0,18378.0,18445.0,18521.0,18619.0,18624.0
root/c/integrationtest,root/c,473.0,510.0,686.0,686.0,686.0,686.0,707.0,707.0,707.0,707.0,707.0,706.0,705.0,705.0,730.0,729.0,729.0,729.0,806.0,806.0,809.0,809.0,835.0,942.0,989.0,989.0,989.0,989.0,1037.0,1037.0,1037.0,1037.0,1037.0,1037.0,1037.0,1397.0,1397.0,1438.0,1488.0,1488.0,1488.0,1488.0,1488.0,1488.0,1488.0,1488.0,1612.0,1612.0,1612.0,1614.0,1614.0,1620.0,1620.0
root/c/integrationtest/python,root/c/integrationtest,473.0,510.0,686.0,686.0,686.0,686.0,707.0,707.0,707.0,707.0,707.0,706.0,705.0,705.0,730.0,729.0,729.0,729.0,806.0,806.0,809.0,809.0,835.0,942.0,989.0,989.0,989.0,989.0,1037.0,1037.0,1037.0,1037.0,1037.0,1037.0,1037.0,1397.0,1397.0,1438.0,1488.0,1488.0,1488.0,1488.0,1488.0,1488.0,1488.0,1488.0,1612.0,1612.0,1612.0,1614.0,1614.0,1620.0,1620.0
root/c/integrationtest/python/integrationtest_support.py,root/c/integrationtest/python,112.0,115.0,121.0,121.0,121.0,121.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0,122.0
root/c/integrationtest/python/should_build_project_with_script_named_like_library_tests.py,root/c/integrationtest/python,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
root/c/integrationtest/python/should_build_pyfix_project_tests.py,root/c/integrationtest/python,0,0,48.0,48.0,48.0,48.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,53.0,53.0,53.0,53.0,62.0,62.0,62.0,62.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0
root/c/integrationtest/python/should_build_simple_python_project_tests.py,root/c/integrationtest/python,51.0,49.0,49.0,49.0,49.0,49.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
root/c/integrationtest/python/should_exclude_optional_task_tests.py,root/c/integrationtest/python,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,55.0,55.0,55.0,55.0
root/c/integrationtest/python/should_execute_teardown_on_before_failure_tests.py,root/c/integrationtest/python,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
root/c/integrationtest/python/should_execute_teardown_on_task_failure_tests.py,root/c/integrationtest/python,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
