root/EastAsia&PacificAmericanSamoa,root,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,0,0,0,87.0,0
root/EastAsia&PacificAustralia,root,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,93.0
root/EastAsia&PacificBruneiDarussalam,root,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0
root/EastAsia&PacificCambodia,root,27.0,27.0,35.0,41.0,45.0,52.0,52.0,54.0,60.0,62.0,65.0,63.0,66.0,63.0,72.0,62.0,62.0
root/EastAsia&PacificChina,root,33.0,35.0,35.0,48.0,64.0,74.0,80.0,85.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0
root/EastAsia&PacificFiji,root,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,59.0
root/EastAsia&PacificFrenchPolynesia,root,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,0
root/EastAsia&PacificGuam,root,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0
root/EastAsia&PacificHongKongSARChina,root,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0
root/EastAsia&PacificIndonesia,root,8.9,9.7,16.0,18.0,21.0,26.0,28.0,28.0,30.0,29.0,30.0,32.0,32.0,32.0,32.0,32.0,35.0
root/EastAsia&PacificJapan,root,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0
root/EastAsia&PacificKiribati,root,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
root/EastAsia&PacificKoreaDemPeople’sRep,root,29.0,25.0,34.0,41.0,37.0,35.0,36.0,47.0,58.0,61.0,67.0,72.0,72.0,76.0,80.0,87.0,87.0
root/EastAsia&PacificKoreaRep,root,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0
root/EastAsia&PacificLaoPDR,root,13.0,14.0,16.0,17.0,20.0,24.0,27.0,27.0,28.0,28.0,29.0,32.0,31.0,32.0,35.0,37.0,42.0
root/EastAsia&PacificMacaoSARChina,root,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0
root/EastAsia&PacificMalaysia,root,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0
