root/.codeclimate.yml,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
root/.eslintrc.js,root,0,0,0,0,0,0,0,48.0,47.0,48.0,48.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/.eslintrc.yml,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,11.0,11.0,11.0,11.0,11.0,13.0,11.0,11.0,11.0,11.0,11.0,15.0,15.0,15.0
root/.hound.yml,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
root/.prettierrc.yaml,root,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0
root/.travis.yml,root,0,3.0,3.0,3.0,3.0,3.0,3.0,18.0,23.0,23.0,23.0,22.0,22.0,22.0,22.0,22.0,25.0,25.0,30.0,30.0,30.0,30.0,33.0,33.0,38.0,38.0,38.0,38.0,39.0,39.0,37.0,37.0,37.0
root/app,root,0,0,0,0,161.0,162.0,162.0,723.0,855.0,863.0,866.0,888.0,924.0,925.0,942.0,948.0,951.0,951.0,1009.0,1009.0,1009.0,1022.0,1023.0,1125.0,1141.0,1140.0,1141.0,1141.0,1143.0,1124.0,1512.0,1510.0,1510.0
root/app/.eslintrc.yml,root/app,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
root/app/assets,root/app,0,0,0,0,80.0,80.0,80.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/app/assets/css,root/app/assets,0,0,0,0,6.0,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/app/assets/css/main.css,root/app/assets/css,0,0,0,0,6.0,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/app/assets/js,root/app/assets,0,0,0,0,74.0,74.0,74.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/app/assets/js/index.js,root/app/assets/js,0,0,0,0,63.0,63.0,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/app/assets/js/libs,root/app/assets/js,0,0,0,0,11.0,11.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/app/assets/js/libs/mousetrap.min.js,root/app/assets/js/libs,0,0,0,0,11.0,11.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/app/index.html,root/app,0,0,0,0,17.0,17.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
root/app/main.js,root/app,0,0,0,0,64.0,65.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
