root/EastAsia&Pacific,root,623.6,620.5,583.5,560.5,555.5,549.5,530.5,551.3,569.0,565.0
root/EastAsia&Pacific/Australia,root/EastAsia&Pacific,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
root/EastAsia&Pacific/BruneiDarussalam,root/EastAsia&Pacific,0,19.0,19.0,19.0,19.0,20.0,15.0,15.0,15.0,15.0
root/EastAsia&Pacific/Cambodia,root/EastAsia&Pacific,54.0,45.0,45.0,29.0,29.0,26.0,26.0,26.0,24.0,24.0
root/EastAsia&Pacific/China,root/EastAsia&Pacific,14.3,13.2,13.2,13.2,13.2,13.2,13.2,13.2,24.0,24.0
root/EastAsia&Pacific/Fiji,root/EastAsia&Pacific,24.0,24.0,23.0,23.0,23.0,22.0,22.0,22.0,22.0,22.0
root/EastAsia&Pacific/HongKongSARChina,root/EastAsia&Pacific,17.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
root/EastAsia&Pacific/Indonesia,root/EastAsia&Pacific,21.1,21.1,21.1,21.1,21.1,21.1,21.1,17.9,23.0,26.0
root/EastAsia&Pacific/Japan,root/EastAsia&Pacific,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,11.0,11.0
root/EastAsia&Pacific/Kiribati,root/EastAsia&Pacific,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
root/EastAsia&Pacific/KoreaRep,root/EastAsia&Pacific,12.0,12.0,10.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0
root/EastAsia&Pacific/LaoPDR,root/EastAsia&Pacific,65.0,65.0,37.0,37.0,37.0,37.0,33.0,26.0,26.0,26.0
root/EastAsia&Pacific/Malaysia,root/EastAsia&Pacific,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,8.0
root/EastAsia&Pacific/MarshallIslands,root/EastAsia&Pacific,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
root/EastAsia&Pacific/MicronesiaFedSts,root/EastAsia&Pacific,30.0,30.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
root/EastAsia&Pacific/Mongolia,root/EastAsia&Pacific,44.0,44.0,44.0,44.0,42.0,42.0,42.0,45.0,45.0,45.0
root/EastAsia&Pacific/Myanmar,root/EastAsia&Pacific,0,0,0,0,0,0,0,27.0,27.0,22.0
root/EastAsia&Pacific/NewZealand,root/EastAsia&Pacific,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
root/EastAsia&Pacific/Palau,root/EastAsia&Pacific,35.0,35.0,33.0,31.0,31.0,31.0,31.0,31.0,31.0,30.0
root/EastAsia&Pacific/PapuaNewGuinea,root/EastAsia&Pacific,29.0,29.0,29.0,29.0,29.0,29.0,29.0,32.0,32.0,30.0
root/EastAsia&Pacific/Philippines,root/EastAsia&Pacific,18.0,18.0,18.0,16.0,16.0,14.0,14.0,14.0,14.0,15.0
root/EastAsia&Pacific/Samoa,root/EastAsia&Pacific,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
root/EastAsia&Pacific/Singapore,root/EastAsia&Pacific,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
root/EastAsia&Pacific/SolomonIslands,root/EastAsia&Pacific,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
root/EastAsia&Pacific/Thailand,root/EastAsia&Pacific,22.0,22.0,14.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
root/EastAsia&Pacific/TimorLeste,root/EastAsia&Pacific,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0
root/EastAsia&Pacific/Tonga,root/EastAsia&Pacific,27.0,27.0,26.0,26.0,25.0,25.0,25.0,25.0,25.0,25.0
root/EastAsia&Pacific/Vanuatu,root/EastAsia&Pacific,30.0,30.0,34.0,34.0,34.0,34.0,24.0,24.0,24.0,24.0
root/EastAsia&Pacific/Vietnam,root/EastAsia&Pacific,23.0,23.0,23.0,23.0,21.0,21.0,21.0,21.0,21.0,21.0
root/Europe&CentralAsia,root,1080.1,1009.1,969.1,963.1,934.1,904.1,897.1,919.1,913.4,897.4
root/Europe&CentralAsia/Albania,root/Europe&CentralAsia,22.0,22.0,22.0,22.0,18.0,18.0,18.0,18.0,18.0,18.0
root/Europe&CentralAsia/Armenia,root/Europe&CentralAsia,37.0,37.0,24.0,24.0,20.0,18.0,18.0,18.0,18.0,18.0
root/Europe&CentralAsia/Austria,root/Europe&CentralAsia,10.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
root/Europe&CentralAsia/Azerbaijan,root/Europe&CentralAsia,36.0,36.0,36.0,36.0,30.0,26.0,26.0,26.0,25.0,25.0
root/Europe&CentralAsia/Belarus,root/Europe&CentralAsia,38.0,38.0,38.0,35.0,31.0,30.0,30.0,30.0,30.0,30.0
root/Europe&CentralAsia/Belgium,root/Europe&CentralAsia,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0
root/Europe&CentralAsia/BosniaandHerzegovina,root/Europe&CentralAsia,25.0,25.0,15.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
root/Europe&CentralAsia/Bulgaria,root/Europe&CentralAsia,22.0,22.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0
root/Europe&CentralAsia/Croatia,root/Europe&CentralAsia,18.0,18.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,14.0
root/Europe&CentralAsia/Cyprus,root/Europe&CentralAsia,0,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
root/Europe&CentralAsia/CzechRepublic,root/Europe&CentralAsia,18.0,18.0,18.0,20.0,20.0,20.0,20.0,17.0,17.0,17.0
root/Europe&CentralAsia/Denmark,root/Europe&CentralAsia,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
root/Europe&CentralAsia/Estonia,root/Europe&CentralAsia,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
root/Europe&CentralAsia/Finland,root/Europe&CentralAsia,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0
root/Europe&CentralAsia/France,root/Europe&CentralAsia,20.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
root/Europe&CentralAsia/Georgia,root/Europe&CentralAsia,52.0,14.0,14.0,14.0,11.0,11.0,11.0,10.0,10.0,10.0
root/Europe&CentralAsia/Germany,root/Europe&CentralAsia,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
root/Europe&CentralAsia/Greece,root/Europe&CentralAsia,19.0,19.0,19.0,19.0,19.0,19.0,19.0,15.0,15.0,14.0
root/Europe&CentralAsia/Hungary,root/Europe&CentralAsia,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,19.0
root/Europe&CentralAsia/Iceland,root/Europe&CentralAsia,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
root/Europe&CentralAsia/Ireland,root/Europe&CentralAsia,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0
root/Europe&CentralAsia/Italy,root/Europe&CentralAsia,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
root/Europe&CentralAsia/Kazakhstan,root/Europe&CentralAsia,76.0,76.0,76.0,76.0,71.0,62.0,62.0,69.0,69.0,67.0
root/Europe&CentralAsia/Kosovo,root/Europe&CentralAsia,0,0,0,0,16.0,16.0,16.0,15.0,15.0,15.0
root/Europe&CentralAsia/KyrgyzRepublic,root/Europe&CentralAsia,75.0,75.0,75.0,75.0,72.0,72.0,72.0,75.0,75.0,73.0
root/Europe&CentralAsia/Latvia,root/Europe&CentralAsia,12.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,11.0,11.0
root/Europe&CentralAsia/Lithuania,root/Europe&CentralAsia,11.0,11.0,11.0,11.0,11.0,10.0,9.0,8.0,9.0,9.0
root/Europe&CentralAsia/Luxembourg,root/Europe&CentralAsia,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
root/Europe&CentralAsia/MacedoniaFYR,root/Europe&CentralAsia,15.0,15.0,15.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0
root/Europe&CentralAsia/Moldova,root/Europe&CentralAsia,31.0,31.0,31.0,29.0,29.0,29.0,29.0,29.0,29.0,27.0
root/Europe&CentralAsia/Montenegro,root/Europe&CentralAsia,0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
root/Europe&CentralAsia/Netherlands,root/Europe&CentralAsia,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
root/Europe&CentralAsia/Norway,root/Europe&CentralAsia,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
root/Europe&CentralAsia/Poland,root/Europe&CentralAsia,17.0,17.0,17.0,17.0,17.0,17.0,15.0,15.0,14.0,14.0
root/Europe&CentralAsia/Portugal,root/Europe&CentralAsia,16.0,15.0,15.0,15.0,14.0,14.0,14.0,11.0,13.0,13.0
root/Europe&CentralAsia/Romania,root/Europe&CentralAsia,28.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
root/Europe&CentralAsia/RussianFederation,root/Europe&CentralAsia,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,20.4,19.4
root/Europe&CentralAsia/SanMarino,root/Europe&CentralAsia,0,0,0,0,0,0,0,13.0,13.0,13.0
