root/2000,root,2.625,628.5195961653438,921.3047409697443,1073.6638277769314,1133.37366484523,1159.584493655142,1144.571355491649,1126.3108786914747,1113.4117925861074,1140.8120118599304,1234.8180568838634,1312.6196667884785,1295.7752099557806,1310.8205841173667,1215.21829182412,1212.1517133765572,1028.1114627365796
root/2000/100Girls,root/2000,0,0,0,0,0,0,0,0,0,3.277027027027027,2.963917525773196,3.0759493670886076,2.91,2.8333333333333335,3.1,3.2,3.375
root/2000/101Reykjavik101Reykjavík,root/2000,0,0,0,0,3.5,3.656862745098039,3.6538461538461537,3.7719298245614037,3.5272727272727273,3.5425531914893615,3.63265306122449,3.5086206896551726,3.3846153846153846,3.088235294117647,3.625,3.8333333333333335,5.0
root/2000/102Dalmatians,root/2000,0,2.2083333333333335,2.5493562231759657,2.5,2.4653465346534653,2.308139534883721,2.2204301075268815,2.173076923076923,2.3442622950819674,2.264705882352941,2.4075,2.3757396449704142,2.3533834586466167,2.5309278350515463,2.6097560975609757,2.230769230769231,2.0
root/2000/10thKingdomThe,root/2000,0,0,0,0,0,0,0,0,0,0,0,3.8291666666666666,3.8260869565217392,3.808333333333333,3.903225806451613,3.725,4.375
root/2000/27MissingKisses,root/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0
root/2000/28Days,root/2000,0,3.0617760617760617,3.1189320388349513,3.098876404494382,3.0792682926829267,3.0045871559633026,2.947432762836186,2.9064039408866993,2.949275362318841,3.244186046511628,3.068441064638783,3.1825396825396823,3.2551724137931033,3.2685185185185186,3.533333333333333,3.1574074074074074,3.046875
root/2000/3Strikes,root/2000,0,2.4375,2.5454545454545454,2.5,2.3,2.2,2.25,2.625,1.125,1.25,2.5,2.1666666666666665,0,2.8333333333333335,0,0,2.5
root/2000/3rdWorldHeroBayaningThirdWorld,root/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0
root/2000/6thDayThe,root/2000,0,3.191588785046729,3.102212855637513,2.949317738791423,2.774193548387097,2.8621700879765397,2.7593457943925235,2.836431226765799,2.8583690987124464,2.962962962962963,3.0246913580246915,2.9193548387096775,3.108974358974359,3.152027027027027,3.1682242990654204,3.0765765765765765,2.8656716417910446
root/2000/AChineseinaComa,root/2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
root/2000/Aberdeen,root/2000,0,0,3.7142857142857144,3.6666666666666665,3.4107142857142856,3.7857142857142856,3.5454545454545454,3.590909090909091,3.7857142857142856,3.5833333333333335,3.0625,2.875,3.142857142857143,3.8333333333333335,0,0,0
